Source,Type_of_Source,Text,Ideology,Label,Geographical_Location,Author_Country_Affiliation,
https://nypost.com/2018/01/09/neo-nazi-leader-gets-5-years-for-having-explosive-material/,Website,"Don’t prepare for exams, prepare for a race war.",White Supremacist,Radicalization,-,USA,
https://www.counterextremism.com/supremacy/atomwaffen-division-national-socialist-order,Website,"We will build an Aryan, National Socialist world by any means necessary.",White Supremacist,Propaganda,-,USA,
https://www.huffingtonpost.co.uk/2014/03/06/new-neo-nazi-group-national-action_n_4910260.html?guccounter=1,Website,"White Youths between ages of 15-29 who are looking to become racial activists. Our group is about carrying out direct action operations nationwide, and we would love to hear from you. Flyers, stickers, and activites will all be provided free of charge to willing volunteers. If you are interested please contact us today!",White Supremacist,Recruitment,-,USA,
https://www.counterextremism.com/supremacy/combat-18,Website,"all non-whites back to Africa, Asia, Arabia, whether alive or in body bags",White Supremacist,Propaganda,"Africa, Asia, Arabia",USA,
https://www.counterextremism.com/supremacy/combat-18,Website,"weed out all Jews in the government, the media, the arts, the professions",White Supremacist,Propaganda,-,USA,
https://www.counterextremism.com/supremacy/combat-18,Website,put into camps the rest until we find a final solution to the eternal Jew.,White Supremacist,Propaganda,-,USA,
https://www.counterextremism.com/rhetoric-category/white-supremacist,Website,"I am not in the position to, alone, go into the ghetto and fight. I chose Charleston because it is most historic city in my state, and at one time had the highest ratio of blacks to Whites in the country. We have no skinheads, no real KKK, no one doing anything but talking on the internet. Well someone has to have the bravery to take it to the real world, and I guess that has to be me.",White Supremacist,Propaganda,-,USA,
https://www.counterextremism.com/rhetoric-category/white-supremacist,Website,Segregation was not a bad thing...It was a defensive measure. Segregation did not exist to hold back niggers. It existed to protect us from them,White Supremacist,Propaganda,-,USA,
https://www.counterextremism.com/rhetoric-category/white-supremacist,Website,"The rapidly growing non-European population, which is within the borders of the Nordic region, will, in combination with race blend and low Nordic birth rates, effectively provide for the safe and secure death of the Nordic breed if something is not done.",White Supremacist,Propaganda,"Norway,Sweden,Finland",USA,
https://www.counterextremism.com/rhetoric-category/white-supremacist,Website,"It is a battle of life and death, with the race's survival as an effort. It's time to take courage and move the sword out of the stone. The destiny is here and now! Do right- fear nothing!",White Supremacist,Recruitment,-,USA,
https://www.counterextremism.com/rhetoric-category/white-supremacist,Website,"The Nordics and the Nordic race are in imminent danger. Through the use of their power positions and their influence, traitors, big finance and enemy media have for many years made sure that the gates to the Nordics are wide open, thus enabling the ongoing, racially alien invasion of our lands",White Supremacist,Radicalization,"Norway,Sweden,Finland",USA,
https://www.counterextremism.com/rhetoric-category/white-supremacist,Website,"The Mexican birthrate in this country is five times that of white people. The black birthrate is four times larger. America will become a Third World nation if these trends continue. Unless we slow down and cut off immigration by beefing up border control and encourage welfare recipients to have fewer kids, the white population in America will be swamped.",White Supremacist,Propaganda,USA,USA,
https://www.counterextremism.com/rhetoric-category/white-supremacist,Website,"You can’t raise the nigger race of people that aren’t equal to white. Whether it’s in schooling, whether it’s in housing, in the community, or in society or what it is. You can only do one thing as the situation has proven itself in the Washington D.C. school system.",White Supremacist,Propaganda,-,USA,
https://www.counterextremism.com/rhetoric-category/white-supremacist,Website,"You can only bring the white race down, and by continually bringing the white race down you’re bringing them down to a level with the nigger race of people.",White Supremacist,Propaganda,-,USA,
https://www.counterextremism.com/rhetoric-category/white-supremacist,Website,You don’t bring the nigger up to the level of the white. You’re bringing the white and driving the white down on to a level of that of the nigger. And that’s the entire program of desegregation that’s transpiring and taking place,White Supremacist,Propaganda,-,USA,
https://www.counterextremism.com/rhetoric-category/white-supremacist,Website,I sure will believe in segregation for the simple reason we believe in preserving and protecting God’s word. He created the white man. He intended for him to stay white. He created the nigger. He intended for him to stay black. And we believe that Mongolization destroys both races and creates a Mongol which is not a race.,White Supremacist,Propaganda,-,USA,
https://www.counterextremism.com/rhetoric-category/white-supremacist,Website,"Anti-White discrimination is official government policy through ‘affirmative action’ schemes such as minority scholarships, minority business grants, contract ‘set-asides,’ and the hiring and force fed promotion of less qualified employees. We demand an end to all government enforced race mixing such as busing and moving welfare recipients into Middle Class neighborhoods.",White Supremacist,Propaganda,-,USA,
https://www.counterextremism.com/rhetoric-category/white-supremacist,Website,So for a church to welcome so-called Christian homosexuals or non-whites into the congregation—because its some sort of hospital for the depraved is wrong,White Supremacist,Radicalization,-,USA,
Weinberg 2011 https://digitalcommons.ric.edu/cgi/viewcontent.cgi?article=1051&context=honors_projects,Website,"Finally, we are all going to be linked together at one point in time. Imagine if you will, all the great minds of the patriotic Christian movement linked together and joined into one computer. Now imagine any patriot in the country being able to call up and access those minds, to deal with the problems and issues that affect him. You are on line with the Aryan Nations brain trust. It is here to serve the folk",White Supremacist,Propaganda,-,USA,
Weinberg 2011 https://digitalcommons.ric.edu/cgi/viewcontent.cgi?article=1051&context=honors_projects,Website,"Hello my fellow kids, I am 16, i would like to URGE ALL OF YOU not to do drugs. You hear that repeatedly, and many think its idiotic. People who dopot, crack, any drugs, have no future, have no power. Do you want to be futureless? be powerless, because i dont. I want power, control, i want people to fear me, i want money, i want the world, i want our cause to be praised world wide, i hope you do too. Doing drugs will make you inferior, and will not help you become an elite. So kiddies, whether your my age, or younger, please dont do drugs, i would hate to see one of our Aryan brothers polluted bysubstances created by some fucking disgusting spic asshole in columbia or mexico",White Supremacist,Radicalization,-,USA,
Weinberg 2011 https://digitalcommons.ric.edu/cgi/viewcontent.cgi?article=1051&context=honors_projects,Website,"Hello to all of the future generations of White Nationalists!The Knights of the KuKluxKlan has for racially minded youths a YouthKlanCorp.All of those young ones that are interested in participating in the Great and Noble organization of The Knightsof the KuKluxKlanare encouraged to join!The Knightsof the KuKluxKlanare a political movement that promotes White Christian Revival and Values. Yes, we still practice ceremony and we still stand For GOD, RACE, and NATION!",White Supremacist,Recruitment,-,USA,
Weinberg 2011 https://digitalcommons.ric.edu/cgi/viewcontent.cgi?article=1051&context=honors_projects,Website,"We gather at special times of the year for fellowship and worship and The Knights also encourage White Christian Youths to become involved in their desire to standFor GOD, RACE, and NATION too.To view the Knights of the KuKluxKlan webpage, point your cursor to the Confederate Flag and click. Through this page you can visit a lot of the different aspects of The Knights of the KuKluxKlan.To see the online application for membership in The Knights of the KuKluxKlan, point your cursor to the Knightsbanner on the Right side of Our Country's Flag. This will take you to the online application for membership into The Knights of The KuKluxKlan",White Supremacist,Recruitment,-,USA,
Weinberg 2011 https://digitalcommons.ric.edu/cgi/viewcontent.cgi?article=1051&context=honors_projects,Website,Follow your Racial calling and allow GOD to guide you to the Truth.,White Supremacist,Recruitment,-,USA,
Weinberg 2011 https://digitalcommons.ric.edu/cgi/viewcontent.cgi?article=1051&context=honors_projects,Website,"Some of you may be a bit young to remember this, so a quick rundown: Panzerfaust Records (Now Tightrope Records) pressed a 100,000 copies of what they called Project Schoolyard. This is a compact disc packed full of pro-white music, with different music tastes for everyone. The discs are mass-produced for distribution at schools, although you could distribute them elsewhere. This project was VERY successful and garnered TONS of support, as well as a lot of coverage from the media. I for one, would like to see this take off again...hell, I would LOVE to see us be even more successful this time around. It is up to YOUto make this happen. The price per CD is only 0.30 cents so I don't want to hear anyone complaining about how they cant afford it!!! HOWEVER...I would like you to continue reading before youparticipate in this project.",White Supremacist,Radicalization,-,USA,
https://www.lawfareblog.com/iron-march-data-dump-provides-window-how-white-supremacists-communicate-and-recruit,Website,"In my unit (infantry) I’ve met quite a few rightists—some openly NS, lots of neo-Nazis, others just nationalists, others red-pilled conservatives, others blue-pilled militiamen, even a couple Mormon extremists. You see plenty “of our kind” in the combat arms.... On most bases you can see the occasional right-wing symbol. Sun wheel there, 88 here, Mussolini’s face over there, a Templar cross tattoo. The symbols of SS units are especially common, even on things as public as cars, flags, and helmets",White Supremacist,Propaganda,-,USA,
https://www.lawfareblog.com/iron-march-data-dump-provides-window-how-white-supremacists-communicate-and-recruit,Website,"The thing is, you can’t defend alt-right here while claiming to support Iron March/Atomwaffen. Pick one because you cannot be on both sides at once.",White Supremacist,Recruitment,-,USA,
https://www.abc.net.au/news/2021-03-26/the-base-tapes-secret-recordings-australian-recruitment/13255994,Website,"We have barely a toehold right now in Australia, we need to change that to a foothold",White Supremacist,Recruitment,-,Australia,
https://www.abc.net.au/news/2021-03-26/the-base-tapes-secret-recordings-australian-recruitment/13255994,Website,"So appreciate you accepting this role. You know, you have been doing a real solid for us, even though you're out there in Australia, kind of on your own for a while. You stayed committed to The Base and, you know, you've done things actively. I mean, you postered.",White Supremacist,Recruitment,-,Australia,
https://www.abc.net.au/news/2021-03-26/the-base-tapes-secret-recordings-australian-recruitment/13255994,Website,"We're looking for guys who realise that there's a degree of risk involved with getting involved with us and they're willing to take on that risk because they feel the mission is important enough and they want to be, you know, participate strongly enough that they're willing to take on that degree of risk.",White Supremacist,Recruitment,-,Australia,
https://www.abc.net.au/news/2021-03-26/the-base-tapes-secret-recordings-australian-recruitment/13255994,Website,“I was just starting to see all the [Sudanese] in Melbourne and that sort of stuff and I’m just becoming more racist.”,White Supremacist,Radicalization,-,Australia,
https://www.businessinsider.in/politics/world/news/neo-nazi-groups-are-using-instagram-to-recruit-young-teenagers-experts-warn-memes-are-being-used-to-entice-them-/articleshow/81726034.cms,Website,Establish White Law,White Supremacist,Recruitment,-,USA,
https://nospace4hate.btown-in.org/recruitment-on-campus/,Website,“diversity” is a weapon of annihilation targeting  American identity,White Supremacist,Propaganda,USA,USA,
https://nospace4hate.btown-in.org/recruitment-on-campus/,Website,Diversity destroys Nations,White Supremacist,Recruitment,-,USA,
https://nospace4hate.btown-in.org/recruitment-on-campus/,Website,Immigration Kills. Coronavirus Made in China,White Supremacist,Recruitment,China,USA,
https://nospace4hate.btown-in.org/recruitment-on-campus/,Website,Protect American Workers,White Supremacist,Recruitment,USA,USA,
https://nospace4hate.btown-in.org/recruitment-on-campus/,Website,Nationalism not Globalism,White Supremacist,Recruitment,-,USA,
https://gothamist.com/news/white-supremacist-recruiting-poster-spotted-then-destroyed-bay-ridge,Website,To ourselves and our posterity,White Supremacist,Recruitment,-,USA,
Alt-Right | Southern Poverty Law Center (splcenter.org),Website,"Martin Luther King Jr., a fraud and degenerate in his life, has become the symbol and cynosure of White Dispossession and the deconstruction of Occidental civilization. We must overcome!",White Supremacist,Propaganda,-,USA,
Alt-Right | Southern Poverty Law Center (splcenter.org),Website,"Immigration is a kind of proxy war—and maybe a last stand—for White Americans, who are undergoing a painful recognition that, unless dramatic action is taken, their grandchildren will live in a country that is alien and hostile.",White Supremacist,Propaganda,-,USA,
Alt-Right | Southern Poverty Law Center (splcenter.org),Website,"Since we are fighting for nothing less than the biological survival of our race, and since the vast bulk of Jews oppose us, we need to err on the side of caution and have no association with Jews whatsoever. Any genuine Jewish well-wishers will understand, since they know what their people are like better than we ever can. Saving our race is something that we will have to do ourselves alone.",White Supremacist,Propaganda,-,USA,
Alt-Right | Southern Poverty Law Center (splcenter.org),Website,"I oppose the Jewish diaspora in the United States and other white societies. I would like to see the white peoples of the world break the power of the Jewish diaspora and send the Jews to Israel, where they will have to learn how to be a normal nation.",White Supremacist,Propaganda,USA,USA,
,Website,"At the core of the JI [Jewish Identity] is a malevolent supremacy. This is the manifest in their rejection of outgroups who wish to participate and innovate traditional Jewish cultural activities. Why reject diversity and progress within your community if not a false feeling of ‘betterness’? The root of this problem is, of course, a sexual feeling of inferiority. Mighty psychosexual urges must not be downplayed within group dynamics. As a remedy to this, the JI must be infiltrated with foreign members to procreate with their men and women. That way, the deep psychological psychosis can be treated at the root",White Supremacist,Propaganda,-,USA,
Alt-Right | Southern Poverty Law Center (splcenter.org),Website,"The new left doctrine of racial struggle in favor of non-Whites only, a product of decolonization and the defeat of nationalists by egalitarians after WWII, must be repudiated and Whites must be allowed to take their own side in their affairs. A value system that says Whites are not allowed to have collective interests while literally every other identity group can do so and ought to do so is unacceptable",White Supremacist,Propaganda,-,USA,
Alt-Right | Southern Poverty Law Center (splcenter.org),Website,"This is our home and our kith and kin. Borders matter, identity matters, blood matters, libertarians and their capitalism can move to Somalia if they want to live without rules, in the West we must have standards and enforce them. The ‘freedom’ for other races to move freely into white nations is nonexistent. Stay in your own nations, we don’t want you here.",White Supremacist,Propaganda,-,USA,
Alt-Right | Southern Poverty Law Center (splcenter.org),Website,"Those who promote miscegenation, usury, or any other forms of racial suicide should be sent to re-education centers, not tolerated",White Supremacist,Propaganda,-,USA,
American Border Patrol/American Patrol | Southern Poverty Law Center (splcenter.org),Website,"An invasion is spreading across America like wildfire, bringing gangs, drugs and an alien culture into the very heartland of America.",White Supremacist,Propaganda,USA,USA,
American Border Patrol/American Patrol | Southern Poverty Law Center (splcenter.org),Website,"A misguided immigration policy and a hostile force on our border are threatening the bonds of our union. If she is to survive, America needs leaders who will fight for her. Leaders who will control our border. Leaders who will repel invaders. Leaders who will put an end to the cultural cancer which is eating at the very heart of our nation. America and her western civilization must be rescued if she is to make her date with destiny in the twenty first century",White Supremacist,Propaganda,USA,USA,
American Border Patrol/American Patrol | Southern Poverty Law Center (splcenter.org),Website,"Americans, especially white Americans, should get out of California — now, before it is too late to salvage the equity they have in their homes and the value of their businesses",White Supremacist,Propaganda,USA,USA,
https://www.hopenothate.org.uk/wp-content/uploads/2021/03/state-of-hate-2021-final-2.pdf,Website,"They try to split us now from @SABMYK , but we are not that stupid as you think Soros! We are QAnon #WWG1WGA !!! THIS IS SPARTA and THIS IS @SABMYK ! We stay together! You can’t devide us",White Supremacist,Propaganda,-,USA,
https://www.hopenothate.org.uk/wp-content/uploads/2021/03/state-of-hate-2021-final-2.pdf,Website,All Muslims should die. White supremacists rule. I’m going to murder a Muslim,White Supremacist,Radicalization,-,USA,
https://www.hopenothate.org.uk/wp-content/uploads/2021/03/state-of-hate-2021-final-2.pdf,Website,"We are a group who specializes in white identity for the future, by the future. We arent [sic] run by old men who do not have your best interest in mind, so if you are looking for that, do not join this group. It is for members of GenZ",White Supremacist,Radicalization,-,USA,
https://www.hopenothate.org.uk/wp-content/uploads/2021/03/state-of-hate-2021-final-2.pdf,Website,“The extermination of any other non-white race is necessary Heil Hitler ! Heil Breivik ! Heil Brenton Tarrant!,White Supremacist,Radicalization,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/individual/stefan-molyneux,Website,I don’t view humanity as a single species...”,White Supremacist,Propaganda,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/individual/stefan-molyneux,Website,The whole breeding arena of the species needs to be cleaned the fuck up!,White Supremacist,Propaganda,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/individual/stefan-molyneux,Website,Screaming 'racism' at people because blacks are collectively less intelligent...is insane,White Supremacist,Propaganda,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/individual/stefan-molyneux,Website,"You cannot run a high IQ [white] society with low IQ [non-white] people…these [non-white] immigrants are going to fail...and they're not just going to fail a little, they are going to fail hard…they're not staying on welfare because they’re lazy...they’re doing what is economically the best option for them...you are importing a gene set that is incompatible with success in a free-market economy.",White Supremacist,Propaganda,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/individual/stefan-molyneux,Website,"white people will bend over backwards to accommodate you, but when they finally get that they’re just being taken advantage of...you will see a backlash, and that backlash will be quick, decisive, and brutal",White Supremacist,Propaganda,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/individual/stefan-molyneux,Website,the Germans were in danger of being taken over by what they perceived as Jewish-led Communism. And Jewish-led Communism had wiped out tens of millions of white Christians in Russia and they were afraid of the same thing. And there was this wild overreaction and all this kind of stuff.,White Supremacist,Propaganda,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/individual/stefan-molyneux,Website,"skills and abilities have not been distributed evenly by mother nature between various ethnicities and what that means is that when the shit hits the wall it hits some ethnicities a lot harder than others and then you get endless screams of “racism”...this is one fundamental reason why America is having trouble solving these problems is that everybody knows that if you cut spending which community is it going to be hit the hardest? Hint: it’s not Korean…if you cut social spending in America it’s going to hit the black community the hardest ...the black and Hispanic communities don’t end up acting the same as the white population or the Asian population...the media are compliant and willing to scream “racist” at anyone who points out basic fact-based differences between ethnicities…[and] you can’t deal with the situation until Obama’s out or until people understand that ethnicities in America and all around the world tend to act differently [collectively]...collectively ethnicities tend to act differently, they tend to have different incomes, they tend to have different rates of marital stability, they tend to have different rates of criminality",White Supremacist,Propaganda,USA,USA,
https://www.splcenter.org/fighting-hate/extremist-files/individual/stefan-molyneux,Website,"One of the biggest questions in America is ethnic crime rates...and y’know the [Asians] are the model minority…[while] the American blacks and blacks around the world have truly shockingly high levels of criminality and the general explanation is y’know slavery plus racism plus poverty, whatever it is which creates this unholy brew...but as far as I understand it there are significant contributions that your field can make to help people untangle [why] there are such differences in ethnic positive and negative behaviours in society...American blacks have roughly a standard IQ below whites",White Supremacist,Propaganda,USA,USA,
https://www.splcenter.org/fighting-hate/extremist-files/individual/stefan-molyneux,Website,"If we could just get people to be nice to their babies for five years straight, that would be it for war, drug abuse, addiction, promiscuity, sexually transmitted diseases. Almost all would be completely eliminated, because they all arise from dysfunctional early childhood experiences, which are all run by women.",White Supremacist,Propaganda,-,USA,
