Source,Type_of_Source,Text,Ideology,Label,Geographical_Location,Author_Country_Affiliation,
https://www.splcenter.org/fighting-hate/extremist-files/individual/stefan-molyneux,Website,"the fomenting of anti-white hatred is extremely strong and very toxic and very dangerous, [and] I can’t help but think, Jared, that if I lived in a society of [only] white peoplethen the giant fly swatter of ‘shut up whitey, you’re racist’ could never be used against me. We could actually have debates about ideas rather than ethnicity, we could actually have debates where reason and argument could win, and of course it’s not like all white people are rational, of course not, right? But the reality is that the giant thermonuclear strike of ‘you’re a racist’ could not be brought to bear in the debate or in the discussion, and, I gotta tell ya, that’s kinda tempting in a lot of waysbecause if other people are unwilling to drop the race card I’m not sure I wanna to play the game anymore",White Supremacist,Propaganda,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/individual/stefan-molyneux,Website,"people have this idea that human groups somehow live in harmony together...but the sum total of human history is endless warfare between competing groups, two subspecies don’t inhabit the same geographical area for long, one will always displace the other, and this idea [diversity], it’s a complete naive reading of history",White Supremacist,Propaganda,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/individual/alex-jones,Website,"I'm here to tell you, 1776 will commence again if you try to take our firearms! It doesn't matter how many lemmings you get out there on the street, begging to have their guns taken. We will not relinquish them! Do you understand?",White Supremacist,Radicalization,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/individual/alex-jones,Website,"Same-sex marriage is sold as a civil right. And I believe that people as individuals — I'm a libertarian — have the right to do what they want as long as it doesn't hurt others. And I'm not obsessed with the subject like people on different sides of the debate are. But clearly, from the eugenicist/globalist view, and they've written textbooks on it, you can look them up, they [the globalists] want to encourage the breakdown of the family, because the family is where people owe their allegiance. That's why they want to get rid of God. Not because they're atheists, but because they want the state to be God. And so they are taking the rights of an ancient, unified program of marriage and they are breaking it",White Supremacist,Propaganda,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/individual/alex-jones,Website,"Then they'll release the big one, and they'll kill probably half the population of the United States. Folks, I'm telling you right now, I'm sure of it. They're going to stage terror attacks. I will be very surprised if they don't stage something by the end of this year.",White Supremacist,Radicalization,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/individual/alex-jones,Website,"A lot of liberal women, as you know, the new thing is having a jihadi…There’s nothing sexier than a jihadi because it’s so fun to have him step on your head and kick you in the gut. Now, if the man treats you good and loves Jesus, he’s bad. But if he kicks you in the teeth and stomps on you, it’s liberal, it’s trendy, you go smoke hookah with him, and it’s fun",White Supremacist,Propaganda,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/individual/alex-jones,Website,Obama is hardcore Wahhabist; he is al-Qaeda.,White Supremacist,Propaganda,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/individual/alex-jones,Website,"If you're White — Aryan — your people created this country, its Constitution, and the First Amendment that protects political speech, including the speech Jews hate and call hate speech. Don't accept any guilt, and don't take a back seat to anybody. No matter what the professors-afraid-of-being-fired tell you in class. No matter what the writers-afraid-of-being-fired say in a Controlled Daily. No matter what you see on the Electronic Jew. For you, Aryan reader, have interests. And The Aryan Alternative represents them.",White Supremacist,Recruitment,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/individual/matt-hale,Website,It is time to fan the flames of anti-Semitism far and wide. It is time to expose the Jews as being the evil incarnate of the world.,White Supremacist,Propaganda,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/individual/matt-hale,Website,"Once we get the White Race thinking straight, the White Race will cease to subsidize the mud races, and they shall wither on the vine.",White Supremacist,Propaganda,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/individual/matt-hale,Website,The mud races may very well offer some resistance and that resistance will have to be destroyed,White Supremacist,Propaganda,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/individual/thomas-robb,Website,"When the Negro was under the natural discipline of white authority, white people were safe from the abuse and violence of the Negro, but the Negro was also safe from himself.",White Supremacist,Propaganda,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/individual/thomas-robb,Website,"Dats when A'hs does what A'hs want. Dat's also when A'hs kin have da white girls, and da free food stamps.",White Supremacist,Propaganda,=,USA,
https://www.splcenter.org/fighting-hate/extremist-files/individual/thomas-robb,Website,"My name’s not Paul Revere, but one of the things I’d be saying if I was on that stallion in 1775, but I’m not, so in 2009, the Mexicans are coming, the Mexicans are coming!",White Supremacist,Propaganda,Mexico,USA,
https://www.splcenter.org/fighting-hate/extremist-files/individual/thomas-robb,Website,We are going extinct. You don't need great interpreters to read the writing on the screen. At no time in the history of civilization has a people disappeared in this way.,White Supremacist,Radicalization,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/individual/thomas-robb,Website,"They have declared racial demographic war against us. It's up to us to respond. Why are their populations exploding? Because of us, our people have exported our medical technology and we feed them. Had we left them alone, many of them would be going extinct today. Can you imagine AIDS raging through Africa, you know?",White Supremacist,Propaganda,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/individual/thomas-robb,Website,"We are the real Americans, not the Hmong, not Latinos, not the Siberian Americans. The native Americans are not real Americans, they came from Siberia, and you've read about the digs in Washington state. We are the descendants of the real Americans. As far as the future, the handwriting is on the screen. The Camp of the Saints is coming our way.",White Supremacist,Propaganda,USA,USA,
https://www.splcenter.org/fighting-hate/extremist-files/group/act-america,Website,"America has been infiltrated on all levels by radicals who wish to harm America. They have infiltrated us at the CIA, at the FBI, at the Pentagon, at the State Department. They're being radicalized in radical mosques, in our cities and communities within the United States.",White Supremacist,Propaganda,USA,USA,
https://www.splcenter.org/fighting-hate/extremist-files/group/act-america,Website,"Islam is a supremacist, totalitarian political ideology masquerading as a religion. It's as dangerous as Nazism or communism and must be eradicated.",White Supremacist,Radicalization,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/group/act-america,Website,I maintain that to believe in Islam is to be a traitor to the United States. I think we need to wake up and get rid of the traitorous people.,White Supremacist,Propaganda,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/group/act-america,Website,"A massive wave of third-world immigration has been engulfing America for half a century, yet all American citizens hear about from the ‘lamestream’ media is what a racist, intolerant country we live in. If we don’t openly accept millions of individuals who have no desire to embrace the language, culture, and values that made America the greatest country in the history of the world, we must be racists",White Supremacist,Radicalization,USA,USA,
https://www.splcenter.org/fighting-hate/extremist-files/group/aryan-brotherhood,Website,"For the Aryan Brotherhood, murder is a way to make a social statement. If blacks attack whites, we send a message. We go pick one of their shot callers. We catch them walking across the [prison] yard under guard escort in handcuffs. It don’t matter. We’re going to butcher him in front of God and everybody at high noon in the middle of the yard. And it’s not just going to be a few clean stab marks. It’s going to be a vicious, brutal killing. Because that’s how brothers [AB members] take care of business, and a brother’s work is never done.",White Supremacist,Radicalization,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/group/aryan-nations,Website,The white race is the most endangered species on the face of the earth.,White Supremacist,Propaganda,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/group/blood-honour,Website,"Eventually there will be a race war and we have to be strong enough in numbers to win it. I'll die to keep this country pure and if it means bloodshed at the end of the day, then let it be.",White Supremacist,Propaganda,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/group/blood-honour,Website,"To achieve all of this we, and our European comrades, must above all have faith. Our enemies are strong, and presently we are relatively weak in numbers, but unbeatable in spirit. We must realize that we, and our enemies, are engaged in a struggle for the survival of the European races. If we fail we will be destroyed along with European civilization; and we must accept in our hearts, that if victory is eventually ours we must deal with our enemies in the most ruthless fashion. If we do not destroy their cancer at the root we will have to face up to its reincarnation at a later stage. We must have faith in this, our battle to the death.",White Supremacist,Propaganda,Europe,USA,
https://www.splcenter.org/fighting-hate/extremist-files/group/brotherhood-klans,Website,The KKK wants you. Join today and win back your rights that have been given to others in the name of political correctness. We are fighting to preserve the existence of our race and a future for White children.”,White Supremacist,Recruitment,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/group/fraternal-order-alt-knights-foak,Website,How many of our children have to die before we rid our lands of Islamic invaders? Our civilization destroyed. WAKE UP YOU COWARDS! FIGHT,White Supremacist,Radicalization,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/group/national-socialist-movement,Website,"By offering education and guidance, we intend to mobilize our youth for change and create an atmosphere capable of weeding out the superficial and outdated reactionary elements so that we may continue to move forward.",White Supremacist,Propaganda,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/group/national-socialist-movement,Website,"When … you take a German Shepherd and mix him with a Golden Retriever you have a worthless animal that nobody wants and that isn’t worth anything if you’re trying to breed him or sell him. … These degenerates that allow their children to race mix and this sort of thing, they’re destroying the bloodlines of both races.",White Supremacist,Propaganda,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/group/national-socialist-movement,Website,"You know what this bullshit translates to? White people got nice shit, white people worked for it, and Black people want it. . . . They have no interest in equality. They want to fucking rule us.",White Supremacist,Propaganda,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/group/proud-boys,Website,All the heroes of BLM and Antifa are degenerate criminal lowlifes or pedophile rapists. I don’t lose any sleep when they are justly removed from society.,White Supremacist,Radicalization,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/group/proud-boys,Website,The true minority in this world ARE whites. White children are less than 3% of the worlds [sic] population. I think since white majority countries are on a pathway to extinction we should correctly refer to non whites by their true names. Worldwide majority.,White Supremacist,Propaganda,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/group/proud-boys,Website,All I want to do is smash commies too. Actually I’m lying I’m way past just hitting them. When the time comes I will stop at nothing to fully eradicate them all.,White Supremacist,Radicalization,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/group/proud-boys,Website,Palestinians are stupid. Muslims are stupid. And the only thing they really respect is violence and being tough.,White Supremacist,Radicalization,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/group/proud-boys,Website,"We brought roads and infrastructure to India and they are still using them as toilets. Our criminals built nice roads in Australia but aboriginals keep using them as a bed. The next time someone bitches about colonization, the correct response is ‘You’re welcome.",White Supremacist,Propaganda,"India, Australia",USA,
https://www.splcenter.org/fighting-hate/extremist-files/group/proud-boys,Website,"Beating down a mud [a non-white person] when they try to poisen [sic] one of our own or when they try to seduce one of our girls may not be God inspired, but rather a righteous act of collective preservation.",White Supremacist,Propaganda,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/group/white-lives-matter,Website,Do not allow our lands to turn into Haiti ... time to shut the savage beasts down. Shut down Black Lives Matter.,White Supremacist,Propaganda,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/group/vdare,Website,"America was defined — almost explicitly, sometimes very explicitly — as a white nation, for white people, and what that means is that there is virtually no figure, no law, no policy, no event in the history of the old, white America that can survive the transition to the new and non-white version. Whether we will want to call the new updated version ‘America’ at all is another question entirely.",White Supremacist,Propaganda,USA,USA,
https://gnet-research.org/2020/05/07/the-gift-of-the-gab-the-utilisation-of-covid-19-for-neo-nazi-recruitment/,Website,The Great Replacement,White Supremacist,Propaganda,-,USA,
https://gnet-research.org/2020/05/07/the-gift-of-the-gab-the-utilisation-of-covid-19-for-neo-nazi-recruitment/,Website,Day of the Rope,White Supremacist,Propaganda,-,USA,
https://gnet-research.org/2020/05/07/the-gift-of-the-gab-the-utilisation-of-covid-19-for-neo-nazi-recruitment/,Website,Engine of Cyclical History,White Supremacist,Propaganda,-,USA,
https://www.thedailybeast.com/inside-the-private-messages-of-neo-nazi-group-atomwaffen-division,Website,I am also 16. Turning 17 in September 5. I have a job and a vehicle for transportation. I am ready for action.,White Supremacist,Recruitment,-,USA,
https://www.thedailybeast.com/inside-the-private-messages-of-neo-nazi-group-atomwaffen-division,Website,"Just to tell you, I’m 16, so I hope I’m not too young to join.",White Supremacist,Recruitment,-,USA,
https://www.thedailybeast.com/inside-the-private-messages-of-neo-nazi-group-atomwaffen-division,Website,"I’m in Marine NROTC [Naval Reserve Officer Training Corps] at the moment so I could bring that training to the table and moreso in the future, if I earn a commission,",White Supremacist,Recruitment,-,USA,
https://humanrights.gov.au/our-work/publications/examples-racist-material-internet#1.3,Website,"The mud brown child that's been given birth. The beating of your life is what it is worth…
My hands are around your neck. Your error is mine to correct
The air slowly dwindles away. Your defiled body, on the ground it lays.
",White Supremacist,Recruitment,-,Australia,
https://humanrights.gov.au/our-work/publications/examples-racist-material-internet#1.3,Website,Still Just a Nigger,White Supremacist,Recruitment,-,Austrailia,
https://humanrights.gov.au/our-work/publications/examples-racist-material-internet#1.3,Website,Race Mixing is Treason,White Supremacist,Recruitment,-,Australia,
https://humanrights.gov.au/our-work/publications/examples-racist-material-internet#1.3,Website,Islam (Religion of Whores),White Supremacist,Recruitment,-,Australia,
https://humanrights.gov.au/our-work/publications/examples-racist-material-internet#1.3,Website,Too White For You,White Supremacist,Recruitment,-,Australia,
https://www.crikey.com.au/2021/04/20/leaked-neo-nazi-manual-manipulating-media-recruit/,Website,"Activists are responsible for bringing the national socialist message to white Australians, staging media provocations to make the organisation itself better known and recruiting suitably committed people into the organisation",White Supremacist,Recruitment,-,Australia,
https://www.crikey.com.au/2021/04/20/leaked-neo-nazi-manual-manipulating-media-recruit/,Website,"Media baiting is a huge portion of our recruitment drive. There are currently hundreds of minor nationalist groups in Australia, but none of them ever amount to anything without media attention,",White Supremacist,Recruitment,-,Australia,
https://www.stawelltimes.com.au/story/4971439/neo-nazi-grampians-camp-used-for-recruitment/,Website,We are an elite Aussie youth organisation that has been around for just under a year.You will be vetted accordingly before you have the right to join our ranks.,White Supremacist,Recruitment,-,Australia,
https://www.stawelltimes.com.au/story/4971439/neo-nazi-grampians-camp-used-for-recruitment/,Website,"Hey guys, just wanted to say a big thank you for the huge amount of applications we have received,Vetting is of course, a slow but accurate process to weed out the shills. So please be patient. If you have artistic skills in photoshop, you will be bumped ahead of the que",White Supremacist,Recruitment,-,Australia,
https://www.nzherald.co.nz/nz/action-zealandia-nzs-largest-neo-nazi-group-on-the-hunt-for-new-recruits/BK56VEKDR5AJE2CMBVNAX2DKRA/,Website,Kyle Rittenhouse Was Right,White Supremacist,Recruitment,-,New Zealand,
https://www.nzherald.co.nz/nz/action-zealandia-nzs-largest-neo-nazi-group-on-the-hunt-for-new-recruits/BK56VEKDR5AJE2CMBVNAX2DKRA/,Website,Boer Lives Matter - Action Zealandia,White Supremacist,Recruitment,-,New Zealand,
https://gazette.com/news/white-supremacist-neo-nazi-propaganda-in-colorado-springs-spotted-part-of-statewide-increase/article_882e2f70-a7cc-11e8-8ef3-6f9c8b7e92d1.html,Website,Life Liberty and Pursuit of Victory,White Supremacist,Propaganda,-,USA,
https://gazette.com/news/white-supremacist-neo-nazi-propaganda-in-colorado-springs-spotted-part-of-statewide-increase/article_882e2f70-a7cc-11e8-8ef3-6f9c8b7e92d1.html,Website,Money doesnot rule you,White Supremacist,Propaganda,-,USA,
https://gazette.com/news/white-supremacist-neo-nazi-propaganda-in-colorado-springs-spotted-part-of-statewide-increase/article_882e2f70-a7cc-11e8-8ef3-6f9c8b7e92d1.html,Website,Not here not ever,White Supremacist,Propaganda,-,USA,
https://www.wweek.com/news/2019/03/11/neo-nazis-saw-patriot-prayer-rallies-as-fertile-recruitment-grounds-and-targeted-local-newspapers-to-gain-publicity/,Website,"A significant number of the Alt light people are National Socialists, deep down, they just need to find somewhere they belong",White Supremacist,Recruitment,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/individual/david-lane,Website,We must secure the existence of our people and a future for White children.,White Supremacist,Propaganda,-,USA,
https://www.splcenter.org/fighting-hate/extremist-files/individual/david-lane,Website,"America is the murderer of the White Race. … I wouldn't contaminate my toilet with your red, white and blue rag",White Supremacist,Propaganda,-,USA,
https://plawiuk.blogspot.com/2021/08/americas-far-right-extremists-are.html,Website,The defeat of the US government in Afghanistan is unequivocally a positive development.,White Supremacist,Recruitment,USA,USA,
https://www.theguardian.com/theguardian/shortcuts/2014/apr/07/cookie-monster-neo-nazi-propaganda,Website,Who ate my biscuit?,White Supremacist,Propaganda,-,USA,
https://www.crikey.com.au/2016/12/05/neo-nazis-flood-melbourne-uni-with-propaganda/,Website,Stop the Hordes,White Supremacist,Propaganda,-,Australia,
https://www.crikey.com.au/2016/12/05/neo-nazis-flood-melbourne-uni-with-propaganda/,Website,Keep Australia White,White Supremacist,Propaganda,Australia,Australia,
https://www.newsweek.com/hitler-was-right-neo-nazis-arrive-pro-israel-rally-van-covered-hate-speech-1591374,Website,Hitler was right,White Supremacist,Propaganda,-,USA,
https://www.newsweek.com/white-supremacist-propaganda-appears-california-cities-they-brace-white-lives-matter-rally-1582501,Website,Say no to cultural genocide,White Supremacist,Propaganda,-,USA,
https://spectrumlocalnews.com/tx/dallas-fort-worth/news/2021/03/19/report-attributes-majority-of-2020-white-supremacist-propaganda-to-dallas-based-group,Website,America First,White Supremacist,Propaganda,USA,USA,
https://spectrumlocalnews.com/tx/dallas-fort-worth/news/2021/03/19/report-attributes-majority-of-2020-white-supremacist-propaganda-to-dallas-based-group,Website,Better Dead Than Red,White Supremacist,Propaganda,-,USA,
https://spectrumlocalnews.com/tx/dallas-fort-worth/news/2021/03/19/report-attributes-majority-of-2020-white-supremacist-propaganda-to-dallas-based-group,Website,"Two Parties. One Tyranny,",White Supremacist,Propaganda,-,USA,
https://spectrumlocalnews.com/tx/dallas-fort-worth/news/2021/03/19/report-attributes-majority-of-2020-white-supremacist-propaganda-to-dallas-based-group,Website,Not Stolen. Conquered.,White Supremacist,Propaganda,-,USA,
https://www.adl.org/white-supremacist-propaganda-spikes-2020,Website,"Stop Corona Virus, Deport All Illegal aliens, Close the Borders, Stop Immigration Now,",White Supremacist,Propaganda,-,USA,
https://www.adl.org/white-supremacist-propaganda-spikes-2020,Website,Globalism is the virus,White Supremacist,Propaganda,-,USA,
https://www.adl.org/white-supremacist-propaganda-spikes-2020,Website,(((Media))) is the virus.,White Supremacist,Propaganda,-,USA,
https://www.adl.org/white-supremacist-propaganda-spikes-2020,Website,Small HATS BIG problems,White Supremacist,Propaganda,-,USA,
https://www.adl.org/white-supremacist-propaganda-spikes-2020,Website,"America is under occupation,",White Supremacist,Propaganda,-,USA,
https://www.adl.org/white-supremacist-propaganda-spikes-2020,Website,Reject White Guilt,White Supremacist,Propaganda,-,USA,
https://www.adl.org/white-supremacist-propaganda-spikes-2020,Website,110 and Never Again Jews have been expelled from 109 countries make America 110,White Supremacist,Propaganda,USA,USA,
https://www.adl.org/white-supremacist-propaganda-spikes-2020,Website,KIKES LIE WHITES DIE 14/88,White Supremacist,Propaganda,-,USA,
https://www.adl.org/white-supremacist-propaganda-spikes-2020,Website,Antifa is a Jewish Militia,White Supremacist,Propaganda,-,USA,
https://www.adl.org/white-supremacist-propaganda-spikes-2020,Website,Open Borders Spread Disease.,White Supremacist,Propaganda,-,USA,
https://www.adl.org/white-supremacist-propaganda-spikes-2020,Website,No White Guilt.,White Supremacist,Propaganda,-,USA,
https://www.splcenter.org/fighting-hate/intelligence-report/2003/cultural-marxism-catching,Website,Cultural Marxism,White Supremacist,Propaganda,-,USA,
https://laist.com/news/how-white-supremacists-are-recruiting-educated-normies-around-la,Website,"Good morning guys! Friendly reminder that if everyone could channel their time and energy to online recruiting, that would greatly be appreciated!",White Supremacist,Recruitment,-,USA,
https://laist.com/news/how-white-supremacists-are-recruiting-educated-normies-around-la,Website,"Recruit from colleges, universities, libraries, tech companies, and law firms.",White Supremacist,Recruitment,-,USA,
